customers_id	orders_id	is_fraud	customers_age	days_0_2	days_3_10	days_11_30	georate	account_age	days_to_first_purchase	order_total	chat_pub	chat_pri	coop	buddy	buddy_received	friend	friend_recieved	creation	control_var
82702018	261053305	1	16.7890	30.57	22.5	0.0	0.86	151	0	4.99	3	0	110	0	0	0	0	0	0.352695573683
82702018	261220463	1	16.7890	29.96	22.5	0.0	0.86	151	0	6.99	3	0	110	0	0	0	0	0	0.319065833143
82702018	261412381	1	16.7890	4.99	28.1	0.0	0.86	151	0	9.99	3	0	110	0	0	0	0	0	0.670265312047
82702018	261193991	1	16.7890	24.97	22.5	0.0	0.86	151	0	9.99	3	0	110	0	0	0	0	0	0.907328852374
82747847	261091981	0	18.9890	0.0	0.0	49.75	0.7091	150	1	6.99	0	9	7	7	0	0	7	0	0.507466622669
82844678	261210478	1	20.4630	0.0	0.0	80.5	0.7342	148	0	9.99	67	111	1900	2470	1140	380	2090	0	0.969295225083
82844678	261210801	1	20.4630	0.0	0.0	80.5	0.7342	148	0	9.99	67	111	1900	2470	1140	380	2090	0	0.477745216634
82844678	261376716	1	20.4630	0.0	0.0	58.53	0.7342	148	0	9.99	67	111	1900	2470	1140	380	2090	0	0.277828727977
82844678	261210837	1	20.4630	0.0	0.0	80.5	0.7342	148	0	6.99	67	111	1900	2470	1140	380	2090	0	0.746511697914
82844678	261212883	1	20.4630	0.0	0.0	80.5	0.7342	148	0	9.99	67	111	1900	2470	1140	380	2090	0	0.308199579247
82844678	261376802	1	20.4630	0.0	0.0	58.53	0.7342	148	0	9.99	67	111	1900	2470	1140	380	2090	0	0.0992522961198
82844678	261376827	1	20.4630	0.0	0.0	58.53	0.7342	148	0	6.99	67	111	1900	2470	1140	380	2090	0	0.773839928372
82844678	261374969	1	20.4630	0.0	0.0	58.53	0.7342	148	0	9.99	67	111	1900	2470	1140	380	2090	0	0.938759199432
82844678	261385400	1	20.4630	0.0	0.0	58.53	0.7342	148	0	9.99	67	111	1900	2470	1140	380	2090	0	0.943943222667
82844678	261375749	1	20.4630	0.0	0.0	58.53	0.7342	148	0	6.99	67	111	1900	2470	1140	380	2090	0	0.195822202412
82844678	261211354	1	20.4630	0.0	0.0	80.5	0.7342	148	0	9.99	67	111	1900	2470	1140	380	2090	0	0.282641256865
82844678	261217732	1	20.4630	0.0	0.0	80.5	0.7342	148	0	9.99	67	111	1900	2470	1140	380	2090	0	0.192871320041
82933956	261696560	0	22.7973	0.0	27.47	0.0	0.2499	146	2	6.99	42	50	120	90	0	0	105	0	0.845292379391
82984828	261389478	1	48.4521	19.98	110.36	82.84	0.7215	145	6	9.99	192	257	378	273	273	231	378	0	0.2302915013
82984828	261189397	1	48.4521	19.98	110.36	82.84	0.7215	145	6	9.99	192	257	378	273	273	231	378	0	0.908873360917
82986131	261723178	0	17.5479	0.0	0.0	0.0	0.2865	145	0	9.911	21	32	144	0	48	48	120	0	0.327587703951
83159409	261821154	0	23.5616	6.99	0.0	18.99	0.6779	142	7	6.99	5	0	22	22	11	11	44	0	0.252443759626
83159409	261598893	0	23.5616	0.0	13.5	7.0	0.6779	142	7	6.99	5	0	22	22	11	11	44	0	0.0956190948914
83176186	261303082	0	35.3315	7.5	39.96	39.96	0.505	142	1	7.5	79	185	592	518	111	148	592	148	0.103444489542
83176186	261302874	0	35.3315	0.0	39.96	39.96	0.505	142	1	7.5	79	185	592	518	111	148	592	148	0.967669385458
83176186	261303149	0	35.3315	15.0	39.96	39.96	0.505	142	1	7.5	79	185	592	518	111	148	592	148	0.229728575602
83176186	261303211	0	35.3315	22.5	39.96	39.96	0.505	142	1	7.5	79	185	592	518	111	148	592	148	0.0520529197131
83199155	261084636	0	16.5260	0.0	7.5	9.99	0.6601	142	1	9.99	0	5	3	9	3	6	9	0	0.741122695334
83310881	261019894	0	21.7726	0.0	9.99	79.92	0.7215	140	1	4.99	146	386	1072	603	536	670	938	134	0.359798132311
83310881	261313907	0	21.7726	0.0	9.99	69.93	0.7215	140	1	9.99	146	386	1072	603	536	670	938	134	0.959505823339
